X,Y
100.1320336,153.2826866
125.4392773,131.2066004
99.11290099,122.1718208
105.515563,122.213312
169.1749268,146.3840264
76.58123435,102.5199367
111.4967737,153.5839518
51.09860689,84.69835123
76.54006165,109.2221345
107.7647059,137.6470588
79.62222024,100.3438393
64.43658588,88.88591459
99.68859271,113.1565591
93.16412329,80.80260941
107.1098932,124.9742642
90.726936,97.28349271
101.4117647,101.4117647
77.88235294,90.82352941
109.2759358,99.64351647
99.48915318,113.3721878
85.59501153,93.19139718
70.34517176,96.66142165
60.83949812,67.22135906
107.0815355,124.9336539
323.1718242,298.7778078
217.6959402,230.3255555
208.4522355,198.0514741
330.8970525,365.3406776
190.4030026,150.1059798
157.2840047,162.4209073
63.30143388,61.03038918
119.3954642,162.8708005
70.89340273,98.53685712
49.19665126,69.18513448
79.91278927,106.3043351
173.4049192,216.1668125
134.7823477,179.8402765
109.747279,139.204136
132.0983803,135.2041859
280.4705882,324.2352941
329.6470588,367.2941176
238.3529412,268.9411765
88.32407501,148.2632044
70.96474571,97.00156881
121.5827313,169.4173701
100.5976352,142.8552496
117.8185279,124.571203
55.16917428,68.86724594
110.88,161.28
194.64,181.44
68.17165402,113.4629743
80.07016411,118.4616557
134.1264068,161.5575422
115.3138142,107.2555463
75.45172727,91.00759565
91.27820066,125.3254769
148.5878576,147.8239742
64.17508104,108.6529352
136.6012104,137.7342621
156.4897959,175.5918367
120.1179835,169.6666516
207.4680375,218.0172598
147.8758241,137.3784663
153.1348718,143.0835482
130.66721,170.3434883
117.2187653,138.851413
126.0720197,158.6584316
253.6481029,283.3145477
291.7062244,305.7592879
315.5975655,319.9930748
247.0924448,218.8107794
282.0646302,334.1235385
216.4224239,248.1904264
137.9230388,179.8358722
272.3607965,226.8342117
293.031359,266.8009305
217.6127232,206.8664158
186.3590248,196.596713
229.6393149,199.5214578
168.7313911,168.2169667
110.0673455,113.2910752
96.82948634,98.54473155
80.91233427,100.7170485
166.4973277,226.6213627
258.0355733,258.0355733
250.6351965,307.185199
106.9367107,120.1696816
204.3369489,167.7392867
85.18877778,108.8523267
239.0851356,228.62516
142.5896822,185.7682467
252.40384,211.7691644
244.6620111,230.1861533
259.76452,254.0440407
218.3223933,230.6934148
214.5237562,260.8471552
150.7943481,208.3659658
269.4851921,331.7304131
159.0142272,179.9353625
446.6823529,427.4423529
486.72,480.2752941
454.9294118,423.3176471
563.5082353,512.6541176
443.3882353,431.0329412
420.0517647,373.3788235
399.4611765,381.6141176
447.9623529,434.2211765
413.6094118,409.4870588
457.5811765,408.1129412
564.7623529,513.92
443.84,430.0988235
419.1058824,373.76
401.2423529,382.0047059
369.2588235,328.0776471
487.9152941,487.9152941
415.9341176,415.9341176
346.3505882,320.2376471
409.5717647,380.7105882
416.4447059,420.5670588
427.4423529,464.5505882
417.8211765,364.2188235
577.9129412,507.9035294
552.5129412,500.2847059
462.6047059,436.5223529
501.6588235,424.6917647
547.0141176,496.16
512.6541176,450.8047059
516.7788235,536.0188235
448.0564706,417.8188235
413.6964706,391.7058824
446.6823529,435.6870588
416.4470588,361.4705882
372.4658824,343.6023529
443.9341176,548.3788235
492.3333333,443.6571429
490.9404762,435.3095238
485.3785714,456.1738095
478.4261905,438.0928571
507.6309524,493.7238095
517.3642857,461.7333333
460.3452381,509.0214286
525.7095238,481.2047619
481.2047619,429.747619
428.3571429,442.2642857
504.847619,518.7571429
420.0119048,428.3571429
446.4357143,435.3095238
435.3095238,439.4833333
445.0452381,450.6095238
433.9190476,426.9642857
369.9452381,410.2761905
456.1738095,424.1857143
428.3571429,428.3571429
375.5071429,358.8166667
368.5547619,332.3952381
442.2666667,388.0261905
464.5166667,407.4952381
653.5952381,623.7809524
413.0595238,394.9785714
348.6408,355.6416
399.048,385.0464
333.24,344.4408
393.4488,368.2464
302.436,324.84
364.044,327.6384
436.8528,441.0528
396.2472,373.8456
488.6592,494.2608
506.8608,511.0632
473.256,422.8512
464.856,439.6536
522.264,543.2664
534.8664,504.0624
502.6608,483.06
427.0536,382.248
537.6648,462.0552
434.052,394.848
536.2632,490.0584
414.8253062,447.727347
400.5232653,374.7746939
346.1681633,308.9755102
449.1575511,419.1183674
376.204898,424.8416327
426.2718368,426.2718368
396.2302041,411.964898
474.9061225,496.3616327
463.4620409,414.8277551
