X,Y
374.90625,299.0841346
362.2692308,248.5336538
213.4302885,161.4759615
238.7043269,174.1129808
270.9975962,193.7716346
286.4447115,252.7451923
313.1225962,235.8966346
237.3004808,186.75
196.5793269,185.3461538
189.2610723,155.2214452
189.2634033,142.967366
362.1841492,280.4871795
283.2097902,202.8764569
254.6177156,181.0932401
288.6573427,171.5594406
225.7884615,183.7163462
203.3485577,141.6442308
210.3605769,168.2884615
228.59375,165.4855769
150.0432692,95.35336538
466.25,390.6418269
452.25,350.0384615
520.8557692,460.6514423
389.2427885,340.2379808
456.4495192,387.8413462
450.8485577,375.2403846
453.6490385,387.8413462
425.6466346,361.2379808
539.0600962,529.2572115
376.6394231,316.4350962
464.8509615,392.0432692
436.8461538,380.8413462
442.4471154,390.6418269
424.2451923,378.0408654
499.8533654,432.6466346
431.2475962,385.0432692
424.2475962,350.0384615
432.6466346,383.6418269
480.2517483,438.1958042
390.7132867,344.5874126
523.6643357,457.1888112
366.2937063,364.9370629
529.0909091,446.3356643
406.993007,367.6503497
511.4545455,423.2727273
497.8881119,417.8461538
488.3916084,424.6293706
446.3356643,394.7832168
497.8881119,421.9160839
431.4125874,374.4335664
385.2867133,352.7272727
447.6923077,382.5734266
402.9230769,374.4335664
473.4685315,401.5664336
451.7622378,393.4265734
552.1538462,470.7552448
415.1328671,369.006993
480.2517483,411.0629371
351.3706294,287.6083916
405.7211538,402.9230769
409.9182692,334.3701923
444.8942308,346.9615385
425.3076923,330.1730769
394.5288462,356.7548077
356.7548077,278.4086538
380.5384615,341.3653846
475.6730769,404.3221154
465.8798077,414.1153846
388.9326923,331.5721154
432.3028846,370.7451923
373.5432692,367.9471154
482.6682692,373.5432692
460.2836538,407.1201923
365.1490385,281.2067308
381.9375,331.5721154
383.3365385,344.1634615
386.1346154,314.7836538
446.2932692,391.7307692
435.1009615,338.5673077
333.5688,357.2952
305.6544,263.784
404.8536,350.4096
435.5664,403.4568
396.1776,360.9312
389.496,330.8616
389.496,353.1984
481.6368,414.6264
375.5352,323.8824
442.4304,378.2304
499.7856,442.548
473.2608,427.1904
467.676,421.6056
464.8824,446.736
445.2216,408.9336
388.0008,314.028
513.612,471.7416
386.604,330.7776
309.84,341.9424
454.992,406.1448
494.868,414.96
416.3616,361.6872
382.7184,305.6136
465.4296,377.1096
521.5032,442.9992
487.86,430.3824
391.128,307.0152
501.8784,414.96
409.3536,360.288
441.5976,361.6896
557.9544,445.8024
574.776,469.6344
421.9704,333.6504
414.9624,353.2776
660.2928,576.18
471.036,428.9808
587.3952,444.4008
483.6528,381.3144
499.0752,420.5688
430.3824,363.0912
562.1592,480.8496
430.3824,365.8968
479.448,420.5688
440.1936,339.2568
